,season,seasonNumber,series,episode,challengeType,outcomeType,challengeDescription,shopTime,shopBudget,prepTime,cookTime,productPlacement,advantage,lastChanceKitchenWinnerEnters,restaurantWarWinner,restaurantWarEliminated,didJudgesVisitWinningTeamFirst
12,Kentucky,16.0,US,8.0,Elimination,Team,"The chefs, separated into two teams, threw competing houseboat parties on Lake Cumberland for 100 guests. The guests then voted for their favorite party to determine the winner. Each chef must be responsible for a dish. Eddie, as the winner of the previous elimination challenge, gets to choose his team first and choose how many people (four or five).",30.0,1500.0,960.0,0.0,Lake Cumberland State Resort,,,,,
13,Kentucky,16.0,US,9.0,Quickfire,Individual,"The chefs traveled to the Grand Ole Opry in Nashville, Tennessee, where they created dishes which satisfied the requests on their provided breakfast, lunch, and dinner celebrity ""riders."" (A rider is a list of items that a performer would like to have backstage.)",0.0,0.0,0.0,30.0,Grande Ole Opry,Advantage in Elimination challenge: extra 60 minutes cooking time,,,,
14,Kentucky,16.0,US,9.0,Elimination,Individual,"The chefs made dishes inspired by their favorite music memories. Ken Levitan, Jonathan Waxman, Caleb Followill will taste the food. The chefs will have two hours on the first day and two hours on the second day to cook. Adrienne, as winner of the Quickfire, will get an extra 60 minutes on the second day.",30.0,500.0,120.0,120.0,Sky,,,,,
15,Kentucky,16.0,US,10.0,Quickfire,Individual,"The chefs returned to Kentucky and participated in a trivia challenge. The contestants had to work together to solve four riddles, each of which would lead them to an ingredient or kitchen tool with a number displayed on it. The four numbers were required to open the combination lock to a box containing bouillon cubes. Once the box was unlocked, the chefs had to make dishes using the bouillon cubes as their only seasoning.",0.0,0.0,0.0,35.0,,Advantage in Elimination challenge: sit out,,,,
16,Kentucky,16.0,US,10.0,Elimination,Team,"The chefs, separated in two teams, competed in a head-to-head cook-off inside Rupp Arena. The first team to win two out of three rounds won the challenge. The chefs got to choose their own teams. Past eliminated chefs will help. They had 15 minutes to plan before shopping. John Calipari and Hunter Lewis joined for tasting but not judges' table.",30.0,2000.0,15.0,180.0,"Rupp Arena, Visit Lexington",,,,,
17,Kentucky,16.0,US,11.0,Quickfire,Individual,"The chefs had to cook fried chicken using their own spice blends; however, in order to obtain their spices, the contestants first had to correctly identify them through a blindfolded taste test. Blindfolded, try to name as many of the 30 spices as you can in 5 minutes.",0.0,0.0,0.0,30.0,KFC,,,,,
18,Kentucky,16.0,US,11.0,Elimination,Individual,"The chefs planned a progressive meal for a charity benefit at the Muhammad Ali Center in honor of professional boxer and philanthropist Muhammad Ali. Each chef was responsible for one of six courses, which were inspired by fights from Ali's boxing career: The Fight at Freedom Hall, Liston Two, Fight of the Century, Rumble in the Jungle, Thrilla in Manila, and The Battle of New Orleans. Chefs needed to cook for 100 people. They received 20 minutes to menu plan, and had three hours to cook. Then, theyhad an additional two hours at the Center.",30.0,550.0,180.0,120.0,"Muhammad Ali Center, Terlotto Wine, Bryant's Rent-All",,,,,
19,Kentucky,16.0,US,12.0,Quickfire,Individual,"The chefs harvested their gardens, which were planted at the beginning of the competition, and were tasked with making garden-forward dishes. ",0.0,0.0,0.0,45.0,Hidden Valley Ranch,,Michelle M.,,,
20,Kentucky,16.0,US,12.0,Elimination,Individual,"For their last Elimination Challenge in Kentucky, the chefs visited the Keeneland Sales auction house. Upon arrival, the contestants were told to create dishes showing gratitude to their culinary mentors. They were then provided US$500 to bid on luxury ingredients for their dishes during an auction. The chefs had to remain conscious of their spending, however, as any ingredients needed for their dishes after the auction would have to be bought using their remaining funds. The challenge is to make a thank-you dish to their mentors, who will be eating their food.",30.0,500.0,0.0,180.0,"Keeneland Sales Auction House, Visit Lexington",,,,,
21,Kentucky,16.0,US,13.0,Quickfire,Individual,"The final five chefs traveled to Macau for the remainder of the competition and explored one of the local markets. They were then challenged to create dishes highlighting Macanese proteins, including gum fish, cuttlefish, eel, sea snails, giant scallops, and razor clams. The chefs were given MOP$200 to spend on any additional ingredients available at the market.",,,,,,,,,,
22,Kentucky,16.0,US,13.0,Elimination,Individual,"The chefs catered a Chinese New Year party with dishes featuring pork products, in celebration of the Year of the Pig. They received assistance from five previously eliminated contestants (Justin, Eddie, David, Brian, and Brandon), who were each assigned a tray containing three unique ingredients: Justin had water chestnuts, coconuts, and lychees; Eddie had shrimp, cauliflower, and walnuts; David had peaches, noodles, and peanuts; Brian had eggs, broccoli, and ginger; and Brandon had cabbage, cashews, and oranges. Once a sous chef was selected by one of the competing chefs, their assigned ingredients would be off-limits to the other competitors. The dishes were required to incorporate all three ingredients as well. ",,,,,,,,,,
23,Kentucky,16.0,US,14.0,Quickfire,Individual,The chefs created dishes highlighting durian.,,,,,,,,,,
24,Kentucky,16.0,US,14.0,Elimination,Individual,"The chefs were challenged to make a dish fusing their own heritage with Chinese ingredients. They received a surprise visit from their family members, who helped them conceptualize their dishes and shop for ingredients.",,,,,,,,,,
25,Kentucky,16.0,US,15.0,Elimination,Individual,"The three remaining chefs, with the assistance of two sous chefs of their choosing (Brandon & Nini for Kelsey, Justin & Michelle for Eric, and David & Eddie for Sara) had to cook the best four-course meal of their lives. Two hours into prep, the contestants had to serve their first course for the judges, who selected one chef to be eliminated.",,,,,,,,,,
26,All-Stars L.A.,17.0,US,1.0,Quickfire,Team,"The competitors met outside the Griffith Observatory and competed in a mise en place race. The race consisted of three tasks: turn three artichokes, supreme five oranges, and shell twenty almonds. The first five chefs to complete the artichokes became one team and could leave for the Top Chef kitchen immediately to begin cooking. Likewise, the first five chefs to complete the oranges became the second team, while the rest became the third team. Once the third team entered the kitchen, all teams had fifteen minutes to make two dishes featuring their prepped ingredients.",0.0,0.0,0.0,15.0,Griffith Observatory,Advantage in Elimination challenge: choose team,,,,
27,All-Stars L.A.,17.0,US,1.0,Elimination,Team,"Working in teams of three, the chefs created a family-style seafood feast for several noted chefs and restaurateurs at Cabrillo Beach, including Nancy Silverton, Marcus Samuelsson, Michael Cimarusti, Caroline Styne, Josiah Citrin, Suzanne Goin, and guest judge Jeremiah Tower. In addition, the teams were forced to use an open fire grill as their only heat source, with no access to electricity or appliances. The winners of the Quickfire got to choose their teams (five teams of three). 30 minutes of menu planning and shopping in the Top Chef kitchen. The next day, they had 2.5 hours to prep and cook before service begins.",30.0,0.0,5.0,150.0,Jeremiah Tower,,,,,
28,All-Stars L.A.,17.0,US,2.0,Elimination,Individual,"In honor of food critic and Pulitzer Prize winner Jonathan Gold, the chefs traveled around Los Angeles and sampled the various restaurants and food trucks written in his 2017 List of 101 Best Restaurants, his final guide list before his death in 2018. The contestants were then responsible for creating dishes inspired by their visits.",,,,,,,,,,
29,All-Stars L.A.,17.0,US,3.0,Quickfire,Individual,"The chefs were tasked with making unique fried rice dishes incorporating at least one ingredient pre-selected by guest judges Ali Wong and Randall Park, which ranged from candies to fruits to offal. ",,,,,,Immunity and Advantage in Elimination challenge: choose team,,,,
30,All-Stars L.A.,17.0,US,3.0,Elimination,Team,"The chefs were randomly assigned one of four historical art movements: Baroque, Neoclassicism, Renaissance, and Rococo. After touring the J. Paul Getty Museum, they then had to create dishes inspired by their art movements. One chef from each group was eligible to win the challenge, while another was put up for elimination. ",,,,,J. Paul Getty Museum,,,,,
31,All-Stars L.A.,17.0,US,4.0,Quickfire,Individual,"The chefs competed in a challenge themed after the computer-animated musical film Trolls World Tour. The contestants were responsible for incorporating one ingredient from each of the six groups of ingredients, which were organized by color. The colors corresponded to the six ""musical lands"" visited by the protagonists during the film's plot: pink (pop), red (rock), orange (country), yellow (classical), blue (techno), and purple (funk). ",,,,,Trolls World Tour,,,,,
32,All-Stars L.A.,17.0,US,4.0,Elimination,Team,"The chefs, split into two teams, prepared six-course progressive vegetarian meals for 40 guest diners, including guest judge Jeremy Fox. As an added obstacle, the chefs would not know what ingredients would be available to use until the morning of the challenge, when they shopped at the Santa Monica Farmers Market.",,,,,Santa Monica Farmers Market,,,,,
33,All-Stars L.A.,17.0,US,5.0,Quickfire,Individual,"The chefs were tested on their communication skills by playing a game of telephone with their friends and family. Their loved ones were presented with one of three dishes at Nancy Silverton's restaurant Osteria Mozza. While talking to them over the phone, the chefs had to replicate their loved ones' assigned dish using only their verbal descriptions as guidance.",,,,,Osteria Mozza,Immunity,,,,
34,All-Stars L.A.,17.0,US,5.0,Elimination,Individual,"The chefs were responsible for creating their own signature specialty product, along with an accompanying dish, to sell at the Westfield Century City shopping mall. Each guest shopper was provided one ticket, which could be used to purchase one product. While the judges still selected their most and least favorite dishes, the chef who collected the most tickets received immunity from elimination. The contestants received assistance from their loves ones, who served as sous chefs for the challenge.",,,,,Westfield Century City Mall,,,,,
35,All-Stars L.A.,17.0,US,6.0,Quickfire,Individual,"The chefs were asked to make dishes using alternative types of flour for guest judge Chris Bianco. The contestants were given access to a wide variety of non-wheat flours, including masa, coconut, rice, hazelnut, and blue corn, but were prohibited from using any all-purpose flour. ",,,,,,,,,,
36,All-Stars L.A.,17.0,US,6.0,Elimination,Team,"The chefs were randomly assigned one of the five basic taste profiles: salty, sweet, sour, bitter, and umami. They were then required to form pairs and create dishes harmonizing their two different tastes. The dishes were served to the members of the Los Angeles Philharmonic and their conductor Gustavo Dudamel at the restaurant Otium, in celebration of the orchestra's 100th anniversary. ",,,,,Los Angeles Philharmonic,,,,,
37,All-Stars L.A.,17.0,US,7.0,Quickfire,Individual,"Following her win in Episode 6 of Last Chance Kitchen, Karen rejoined the competition. The chefs were then tasked with making tacos for guest judge Danny Trejo. However, they were forced to use a machete as their only means of cutting.",,,,,,Immunity,Karen A.,,,
38,All-Stars L.A.,17.0,US,7.0,Elimination,Individual,"The chefs pitched their restaurant concepts for the upcoming Restaurant Wars challenge. The contestants had to present a menu and a mood board, alongside one or two dishes, to illustrate their visions to the judges. The top two concepts would be the restaurants built for Restaurant Wars. ",,,,,,,,,,
39,All-Stars L.A.,17.0,US,8.0,Elimination,Team,"Restaurant Wars. The chefs competed in Restaurant Wars, using the two restaurant concepts chosen by the judges during the previous Elimination Challenge. The teams were given 48 hours and US$4,000 each to transform empty spaces into functioning pop-up restaurants, including decor. Unlike previous seasons, the contestants had no restrictions on the number of dishes and courses needed to be served. ",,,,,,,,Full team,Executive chef,Winning team served judges first
40,All-Stars L.A.,17.0,US,9.0,Quickfire,Individual,"The chefs traveled to the Pali Mountain Retreat, where they were challenged to create grilled dishes featuring beans.",,,,,Pali Mountain Retreat,,,,,
41,All-Stars L.A.,17.0,US,9.0,Elimination,Individual,"The chefs catered a Sunday brunch buffet for 200 mothers vacationing at Pali Mountain Retreat, using the limited ingredients available in the camp kitchen pantry. Each chef was responsible for two dishes.",,,,,,,,,,
42,All-Stars L.A.,17.0,US,10.0,Quickfire,Individual,"The chefs were tasked with making desserts for guest judge Sherry Yard. While the contestants had access to basic pantry items, such as dairy, flour, sugar, and eggs, certain other ingredients, such as milk chocolate, peaches, ricotta, and pistachios, were prohibited from use unless correctly identified through a blindfolded taste test. Each person was given 5 minutes to guess 20 mystery ingredients. In addition, the chefs were assigned time limits based on their scores. The chefs with the two highest scores received an hour of cooking time, with the next pair receiving 45 minutes, and the last pair receiving 30 minutes. ",,,,5.0,,Advantage in Elimination challenge: choose course and assign others',,,,
43,All-Stars L.A.,17.0,US,10.0,Elimination,Individual,"In celebration of the 2020 Summer Olympics in Tokyo, Japan (prior to its postponement due to the COVID-19 pandemic), the chefs prepared a six-course kaiseki at the Los Angeles Memorial Coliseum for guest judges Niki Nakayama and Carole Iida-Nakayama, sportscaster Mike Tirico, and Olympic athletes Diana Taurasi, Rai Benjamin, Nastia Liukin, Ibtihaj Muhammad, Christian Coleman, and Kerri Walsh Jennings. Each chef was responsible for one course of the kaiseki, which consisted of sakizuke (appetizer), owan (soup), yakimono (flame-grilled), mushimono (steamed), shokuji (rice), and mizumono (dessert). ",,,,,2020 Summer Olympics,,,,,
44,All-Stars L.A.,17.0,US,11.0,Quickfire,Individual,"The chefs then crafted elevated business class airline meals. The meals were required to include an appetizer or salad, alongside a main course. Following airline restrictions, the dishes could not exceed the height of the airline trays they were served in.",,,,,Airline,Advantage in Elimination challenge: choose dish for inspiration,Kevin G.,,,
45,All-Stars L.A.,17.0,US,11.0,Elimination,Individual,"The chefs headed to Michael's Santa Monica, a restaurant credited with pioneering Californian cuisine, and sampled dishes created by notable Michael's alumni, including Waxman, Roy Yamaguchi, Sang Yoon, Mark Peel, Brooke Williamson, and restaurant owner Michael McCarty. Each chef was then responsible for reinterpreting one of the six Michael's dishes. The contestants drew knives to determine order of choice.",,,,,Michael's,,,,,
46,All-Stars L.A.,17.0,US,12.0,Quickfire,Individual,"The chefs were flown out to Italy for the remainder of the competition. The contestants then gathered at the Piazza dell'Anfiteatro in Lucca, where they were challenged to create an aperitivo which could pair with Peroni beer for guest judge Filippo Saporito and thirty locals. There were five cooking stations available, each containing a unique set of ingredients inspired by the five official regions of Italy: the northwest region (venison, tuna, frog legs, cheese); the northeast region (cold cuts, shellfish, polenta, radicchio); the central region (wild game, beef, mussels); the southern region (tomatoes, peppers, lamb, sardines); and the islands (seafood). ",,,,,,,,,,
47,All-Stars L.A.,17.0,US,12.0,Elimination,Individual,The chefs created dishes featuring white truffles for a Tuscan food festival held at the Palazzo Pfanner. ,,,,,,,,,,
48,All-Stars L.A.,17.0,US,13.0,Elimination,Individual,"The chefs were treated to a culinary trip to Parma, the home of Parmigiano-Reggiano cheese and Prosciutto di Parma ham. After their tour, each contestant was responsible for serving a two-course Italian dinner highlighting Parma's two signature products. ",,,,,,,,,,
49,All-Stars L.A.,17.0,US,14.0,Elimination,Individual,"The final three chefs had to cook the best four-course progressive meal of their lives. Each finalist received help from one sous chef, consisting of previously eliminated competitors Kevin, Brian, and Lee Anne (Gregory was unable to participate due to a back injury). Stephanie was assisted by Brian, Bryan was assisted by Kevin, and Melissa was assisted by Lee Anne. ",,,,,,,,,,
50,Portland,18.0,US,1.0,Quickfire,Team,"In teams of three, the chefs were tasked with combining their favorite ingredients together into one cohesive dish. ",,,,,,Immunity and Advantage in Elimination challenge: choose proteins,,,,
51,Portland,18.0,US,1.0,Elimination,Individual,"The chefs created dishes featuring one of five game birds found in Oregon: quail, duck, chukar, turkey, or squab. As the winners of the Quickfire Challenge, Kiki, Sara, and Sasha were able to choose their proteins; the remaining contestants were randomly assigned theirs. The dishes were judged through a blind tasting.",,,,,,,,,,
52,Portland,18.0,US,2.0,Quickfire,Individual,"The chefs competed in a short order cooking-themed breakfast challenge. At regular intervals, one of the eight all-star judges would call out a breakfast order. The first two chefs to ring their bells then had 30 minutes to prepare eight portions of said dish. ",,,,30.0,,Immunity,,,,
53,Portland,18.0,US,2.0,Elimination,Team,"Initially, the chefs were asked to create individual dishes highlighting either beer or coffee; the brews were randomly assigned via knife draw. However, upon their arrival at the challenge site just hours before service, Tom Colicchio requested that the contestants pair up and create new dishes featuring both beer and coffee, using the ingredients they had already purchased for themselves. One member of the losing team was eliminated.",,,,,,,,,,
54,Portland,18.0,US,3.0,Quickfire,Individual,The chefs were given 45 minutes to create layered desserts in a Talenti gelato-sponsored challenge. The desserts were required to have at least three layers.,,,,45.0,,Immunity,,,,
55,Portland,18.0,US,3.0,Elimination,Individual,"The chefs toured several Portland restaurants specializing in food from the African diaspora, including Jamaican, Guyanese, Haitian, and West African cuisine. They were then asked to cook dishes inspired by Pan-African flavors.",,,,,,,,,,
56,Portland,18.0,US,4.0,Quickfire,Individual,"The chefs were given 30 minutes to create a dish evoking a food memory, using Campbell's soup products. ",,,,30.0,Cambpell's,Immunity,,,,
57,Portland,18.0,US,4.0,Elimination,Individual,"The chefs ventured to Mt. View Orchards in the Hood River Valley, where they were tasked with cooking savory dishes incorporating locally grown fruit. The contestants also did not have access to any vegetables in the Top Chef pantry.",,,,,Mt. View Orchards,,,,,
58,Portland,18.0,US,5.0,Quickfire,Individual,"The chefs created dishes inspired by the mother figures in their lives. The dishes also had to incorporate roses or rose products, in reference to Portland's nickname as the ""City of Roses"".",,,,,,Immunity and Advantage in Elimination challenge: choose team,,,,
59,Portland,18.0,US,5.0,Elimination,Team,"The chefs, split into two teams, competed head-to-head catering for patrons at a pop-up drive-in theater located at the Portland Expo Center. As the winner of the Quickfire Challenge, Chris was able to join the team of his choosing. Each team was responsible for six dishes, which had to be inspired by the following film genres: comedy, drama, action, sci-fi, horror, and romance. The judges and guest diners voted for their favorite dishes in each round. In the event of a 3-3 tie, the best overall dish determined the winning team.",,,,,Portland Expo Center,,,,,
60,Portland,18.0,US,6.0,Quickfire,Individual,"The chefs cooked dishes featuring local Oregon mushrooms and Better Than Bouillon products. In reference to another Portland nickname, ""Stumptown"", the contestants were forced to use tree stumps as prep tables.",,,,,Better Than Bouillon,,,,,
61,Portland,18.0,US,6.0,Elimination,Team,"The chefs traveled to Cascade Locks and paired up to create surf and turf dishes featuring local fish, game proteins, and produce for members of the Confederated Tribes of the Umatilla Indian Reservation.",,,,,Cascade Locks,,,,,
62,Portland,18.0,US,7.0,Quickfire,Individual,"The chefs were given the chance to redo a past failed dish, which could be drawn from mishaps in real life or a blunder made earlier in the competition. The dishes had to incorporate ingredients from the ""second chance pantry"", which ranged from overripe produce to moldy cheese to scrapped proteins. ",,,,,,Immunity,Jamie T.,,,
63,Portland,18.0,US,7.0,Elimination,Individual,"The chefs were recruited by chef Jose Andres to join his nonprofit organization World Central Kitchen. He then asked them to cook meals to be delivered to frontline workers at three local Portland hospitals: Legacy Emanuel Medical Center, Oregon Health & Science University Hospital, and the Legacy Good Samaritan Medical Center. Their meals needed to be reheatable and include a protein, a vegetable, and a starch/grain.",,,,,World Central Kitchen,,,,,
64,Portland,18.0,US,8.0,Elimination,Team,"Restaurant Wars. The chefs, separated into two teams of four, competed in a non-traditional Restaurant Wars. Each team was tasked with creating a chef's table concept for their pop-up restaurant and serving a seven-course tasting menu for the judges and all-star panel. The judges and all-stars were seated directly in front of the kitchen, giving them the opportunity to watch the contestants cook during service. The teams were not provided a waitstaff, and were responsible for all aspects of customer service themselves, including interacting with the diners, refilling drinks, and clearing the table. The teams could divide up the labor however they wanted. From the winning team, an individual winner was declared.",,,,,,,,Front of House,Line Cook,Not sure
65,Portland,18.0,US,9.0,Quickfire,Individual,"The chefs created dishes using ingredients with reputations for being hipster, such as hemp oil, almond flour, kombucha, and milk substitutes. They were also restricted to using vintage kitchen equipment and appliances. ",,,,,,Advantage in Elimination challenge: extra 15 minutes cooking time,,,,
66,Portland,18.0,US,9.0,Elimination,Individual,"The chefs had to develop and write out recipes fit for home cooks. Upon their arrival at the challenge site, they were informed that the all-stars would be testing their written recipes. The contestants' dishes and the all-stars' versions were then compared side-by-side by the judges.",,,,,,,,,,
67,Portland,18.0,US,10.0,Quickfire,Individual,"The chefs made custom dishes based on the judges' preferred flavor combinations using ingredients from Chipotle Mexican Grill. Tom Colicchio, Gail Simmons, and Padma Lakshmi were each assigned two chefs. Each judge would declare their favorite dish between their two assigned chefs.",,,,,Chipotle Mexican Grill,,,,,
68,Portland,18.0,US,10.0,Elimination,Individual,"The chefs competed in a multi-round elimination tournament, set at the Portland Japanese Garden, featuring tofu. The contestants were initially split into three pairs, with each pair cooking head-to-head using a specific texture of tofu: medium, firm, or extra firm. The winner of each head-to-head battle was declared safe, while the three losing chefs would compete in the second round with fried tofu. The two losing chefs of the second round would then compete in the third and final round, which required them to make a dessert using soft tofu. The loser of the third round was eliminated from the competition. In the event of a 5-5 tie, the judges consulted and chose the winner of the round. ",,,,,Portland Japanese Garden,,,,,
69,Portland,18.0,US,11.0,Quickfire,Team,"The chefs competed in the ""black box challenge"", imported from the French version of Top Chef. The chefs were first split into pairs. Due to the odd number of contestants remaining, Brooke Williamson temporarily joined to fill in. After entering the black box, which covered the chefs in total darkness, the first team member had 15 minutes to taste, smell, and feel a mystery dish, prepared by guest judge Gabriel Rucker, and begin trying to recreate it. Once their time expired, the second team member, who was not allowed to communicate with their teammate, had 15 minutes to do the same and pick up where their partner left off. In the final 5 minutes, both team members were allowed to enter the black box, with the lights on, to sample the mystery dish again and fix any mistakes with their recreation.",,,,35.0,,,,,,
70,Portland,18.0,US,11.0,Elimination,Individual,"The chefs received care packages from their families, each containing ten ingredients. They were then asked to create dishes using their gifted ingredients. While the contestants were not required to use every ingredient in their care packages, they were encouraged to utilize as many as possible. The dishes were served at the Scholls Lodge in the Tualatin Valley.",,,,,Scholls Lodge,,,,,
71,Portland,18.0,US,12.0,Quickfire,Individual,"The chefs competed in a challenge paying homage to the Oregon Trail. The contestants had to produce modern dishes using only ingredients the settlers would have had on their journey through the Oregon Trail, including flour, lard, coffee, molasses, dried fruits, meats, and herbs. Any ingredients from the Top Chef pantry were off-limits. ",,,,,,Advantage in Elimination challenge: extra 30 minutes cooking time,,,,
72,Portland,18.0,US,12.0,Elimination,Individual,"The chefs were moved to the Oregon Coast for the final rounds of the competition. They then visited the Tillamook Creamery, where they learned about the cheese-making process and sampled several varieties of Tillamook cheddar. Taking inspiration from Massimo Bottura's famous Parmigiano-Reggiano dish, each chef was responsible for creating a dish utilizing cheddar in five different ways. ",,,,,Tillamook Creamery,,,,,
73,Portland,18.0,US,13.0,Quickfire,Individual,The chefs went clam digging at the Yager Creek Flat in Netarts Bay. They then cooked dishes using their harvested clams. ,,,,,Yager Creek Flat,Advantage in Elimination challenge: $100 extra shopping budget,,,,
74,Portland,18.0,US,13.0,Elimination,Individual,"In honor of Portland native James Beard, the chefs had to prepare both a hot dish and cold dish featuring one of his favorite ingredients: Dungeness crab. The contestants were able to catch their own crabs at Kelly's Brighton Marina in Nehalem Bay.",,,,,Kelly's Brighton Marina,,,,,
75,Portland,18.0,US,14.0,Elimination,Individual,"The chefs had to cook the best four-course progressive meal of their lives. Each finalist received help from one sous chef, consisting of previously eliminated competitors Jamie, Maria, and Byron. Dawn was assisted by Jamie, Shota was assisted by Byron, and Gabe was assisted by Maria. The meals were served at the Willamette Valley Vineyards to the judges, all-stars, and guest diners Naomi Pomeroy and Peter Cho",,,,,Willamette Valley Vinyards,,,,,
76,Houston,19.0,US,1.0,Quickfire,Team,"In teams of three, the chefs were asked to create cohesive dishes while cooking relay-style. The chefs took turns cooking their team's dish, but were only allowed ten minutes each. In addition, teammates were not allowed to communicate with each other about the direction of their dishes. ",,,,,,Immunity,,,,
77,Houston,19.0,US,1.0,Elimination,Team,"Working in the same teams as the Quickfire Challenge, the chefs were tasked with creating three-course menus featuring primal cuts of beef to be served at The Annie Cafe & Bar. The five options included chuck, rib, short loin, sirloin, and round. Each team was only allowed to use one of the five primal cuts, which were available first-come, first-served. They were also responsible for butchering the meat themselves. ",,,,,The Annie Cafe & Bar,,,,,
78,Houston,19.0,US,2.0,Quickfire,Individual,"The chefs put their own spin on queso. They had to include an accompanying item to dip into their queso, but were not allowed to make tortilla chips",,,,,,Immunity,,,,
